company_name,siren_number,nic_number,legal_form,ape_code,address,postal_code,city,region,registration_date,deregistration_date,closing_date_2018_1,revenue_2018_1,turnover_2018_1,closing_date_2018_2,revenue_2018_2,turnover_2018_2,closing_date_2018_3,revenue_2018_3,turnover_2018_3,closing_date_2019_1,revenue_2019_1,turnover_2019_1,closing_date_2019_2,revenue_2019_2,turnover_2019_2,closing_date_2019_3,revenue_2019_3,turnover_2019_3,closing_date_2020_1,revenue_2020_1,turnover_2020_1,closing_date_2020_2,revenue_2020_2,turnover_2020_2,closing_date_2020_3,revenue_2020_3,turnover_2020_3,closing_date_2021_1,revenue_2021_1,turnover_2021_1,closing_date_2021_2,revenue_2021_2,turnover_2021_2,closing_date_2021_3,revenue_2021_3,turnover_2021_3,closing_date_2022_1,revenue_2022_1,turnover_2022_1,closing_date_2022_2,revenue_2022_2,turnover_2022_2,closing_date_2022_3,revenue_2022_3,turnover_2022_3,industry_sector,phone_number,website,reviews,schedule,instagram,facebook,twitter,linkedin,youtube,email,scraping_date,siren,dateCreationUniteLegale,dateDernierTraitementUniteLegale,nombrePeriodesUniteLegale,categorieEntreprise
EL KHENATI,922522073,19.0,Société à responsabilité limitée,0000Z,57 AVENUE DE CASSIS,13470.0,CARNOUX EN PROVENCE,Provence-Alpes-Côte d'Azur,2022-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,922522073.0,2022-12-26,2024-06-08T05:19:33,2.0,
VEM,894389600,20.0,Societe par actions simplifiee,0000Z,2 BOULEVARD DE L EUROPE,91000.0,EVRY COURCOURONNES,Ile-de-France,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,894389600.0,2021-02-23,2024-03-22T14:26:06,3.0,PME
SARL BOILLOT,877963926,10.0,Societe a responsabilite limitee,0000Z,17 GRANDE RUE,25140.0,CHARQUEMONT,Bourgogne-Franche-Comté,2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,877963926.0,2019-10-01,2024-03-22T14:26:06,2.0,PME
VET AND CO,897407045,11.0,Societe par actions simplifiee a associe unique,0000Z,2 RUE BONNABAUD,63000.0,CLERMONT FERRAND,Auvergne-Rhône-Alpes,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,897407045.0,2021-03-22,2024-05-07T05:11:32,3.0,PME
START,849452586,19.0,Societe a responsabilite limitee,0000Z,595 RUE PIERRE BERTHIER,13290.0,AIX EN PROVENCE,Provence-Alpes-Côte d'Azur,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,849452586.0,2019-03-25,2024-03-22T14:26:06,2.0,PME
GRAC,897609806,12.0,Societe par actions simplifiee a associe unique,0000Z,26 RUE PAUL DEROULEDE,6000.0,NICE,Provence-Alpes-Côte d'Azur,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,897609806.0,2021-03-09,2024-03-22T14:26:06,2.0,PME
LAULIA,849130109,10.0,Societe par actions simplifiee,0000Z,28 RUE SAINT MARTIN,2200.0,SOISSONS,Nord-Pas-de-Calais-Picardie,2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,849130109.0,2019-03-14,2024-03-22T14:26:06,2.0,PME
BIKOT'ILE,921343257,17.0,Société à responsabilité limitée,0000Z,Residence Ibarrondoa,64310.0,SAINT PÉE SUR NIVELLE,Aquitaine-Limousin-Poitou-Charentes,2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,921343257.0,2022-11-14,2024-03-22T14:26:06,2.0,
CHEZ HONG,912585486,18.0,Société par actions simplifiée à associé unique,0000Z,52 CHEMIN DE LA MATTE,33360.0,LATRESNE,Aquitaine-Limousin-Poitou-Charentes,2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,912585486.0,2022-04-19,2024-03-22T14:26:06,2.0,
BMH,898907506,15.0,Societe par actions simplifiee,0000Z,287 BOULEVARD DE BEAUVILLE,80000.0,AMIENS,Nord-Pas-de-Calais-Picardie,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,898907506.0,2021-04-29,2024-03-22T14:26:06,2.0,PME
